Q,A
"""응원 채팅창은 어디에서 열 수 있나요?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 채팅으로 보내려면 어떻게 해야 해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅을 보내는 방법 좀 가르쳐줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 입력하는 방법이 궁금해요.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 보내는 법을 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 보내려면 어떻게 해야 하죠?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅을 하려면 어디로 가야 해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 입력하는 법을 설명해줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 보내는 법을 알려줄 수 있나요?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 채팅으로 보내는 방법 좀 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 기능을 쓰려면 어떻게 해야 해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 작성하는 방법 좀 알려줄래?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅을 시작하려면 어디로 가야 해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 채팅으로 보내는 방법 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅창을 어떻게 여는지 알려줄래?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 입력하는 방법 좀 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 보내는 절차가 어떻게 돼?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 입력하려면 어떤 절차가 필요해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 기능은 어디서 쓸 수 있어?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 작성하는 법을 알고 싶어.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅창을 어떻게 열 수 있나요?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 보내려면 어떻게 해야 하나요?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅을 시작하는 방법이 궁금해요.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지 보내는 법 좀 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅 기능 사용법 좀 설명해줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 메시지를 채팅창에 입력하는 방법 알려줘.""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""응원 채팅을 시작하려면 어떻게 해야 해?""",회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기일정 맨 오른쪽 <채팅 바로가기>를 누르면 현재 경기별로 응원 채팅이 가능합니다.
"""버스 티켓은 어떻게 예매해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매 방법 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 사?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어떻게 하지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 구매 방법 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 구매하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매하는 법이 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 예매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 살 수 있지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 방법이 궁금해.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어떻게 사나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어떻게 예약해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매하는 방법 좀 설명해줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 할 수 있어?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어디서 할 수 있어?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매하려면 어떻게 해야 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 절차를 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 사려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매 방법 좀 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어떻게 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 법 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 구매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매는 어떤 방법으로 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 할 수 있지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떻게 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 예매해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매는 어디서 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 방법을 알려줄 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓을 구매하려면 어떻게 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매하려면 어떤 절차가 필요해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 예약할 수 있어?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차를 설명해줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 사려면 어디로 가야 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어떻게 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 구매는 어디서 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어디서 할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 구매하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 살 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예약하는 방법을 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법이 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약을 어떻게 하면 돼?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매는 어떻게 하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예약하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 구매해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 방법 좀 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 예약하려면 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약 방법은 뭐야?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓은 어디서 예약하나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 어디서 예매할 수 있나요?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하려면 어떤 절차가 필요해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표 예매 절차 좀 알려줄래?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 예매는 어떻게 해야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약은 어디서 가능해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표를 예매하려면 어디로 가야 해?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 티켓 구매하는 방법 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매 절차가 궁금해.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예약하는 법을 알려줘.""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스표는 어디서 살 수 있지?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
"""버스 예매를 어떻게 해야 하죠?""","회원가입 후 로그인한 상태에서 가능합니다. 홈페이지의 경기 일정마다 중간에 있는 예약 버튼을 누르면 예약 페이지로 이동합니다. 최대 4개의 좌석까지 한번에 예약할 수 있고, 한 좌석당 18000포인트입니다. 경기시작 3시간 전까지 예약이 가능합니다."
